I,11,ACEH
"",11.01, 1 KAB. ACEH SELATAN
"",11.01.01, 1 Bakongan
"",11.01.02, 2 Kluet Utara
"",11.01.03, 3 Kluet Selatan
"",11.01.04, 4 Labuhan Haji
"",11.01.05, 5 Meukek
"",11.01.06, 6 Samadua
"",11.01.07, 7 Sawang
"",11.01.08, 8 Tapaktuan
"",11.01.09, 9 Trumon
"",11.01.10, 10 Pasi Raja
"",11.01.11, 11 Labuhan Haji Timur
"",11.01.12, 12 Labuhan Haji Barat
"",11.01.13, 13 Kluet Tengah
"",11.01.14, 14 Kluet Timur
"",11.01.15, 15 Bakongan Timur
"",11.01.16, 16 Trumon Timur
"",11.01.17, 17 Kota Bahagia
"",11.01.18, 18 Trumon Tengah
"",11.02, 2 KAB. ACEH TENGGARA
"",11.02.01, 1 Lawe Alas
"",11.02.02, 2 Lawe Sigala-Gala
"",11.02.03, 3 Bambel
"",11.02.04, 4 Babussalam
"",11.02.05, 5 Badar
"",11.02.06, 6 Babul Makmur
"",11.02.07, 7 Darul Hasanah
"",11.02.08, 8 Lawe Bulan
"",11.02.09, 9 Bukit Tusam
"","", 10
"",11.02.10,Semadam
11.02.11, 11 Babul Rahmah
11.02.12, 12 Ketambe
11.02.13, 13 Deleng Pokhkisen
11.02.14, 14 Lawe Sumur
11.02.15, 15 Tanoh Alas
11.02.16, 16 Leuser
11.03, 3 KAB. ACEH TIMUR
11.03.01, 1 Darul Aman
11.03.02, 2 Julok
11.03.03, 3 Idi Rayeuk
11.03.04, 4 Birem Bayeun
11.03.05, 5 Serbajadi
11.03.06, 6 Nurussalam
11.03.07, 7 Peureulak
11.03.08, 8 Rantau Selamat
11.03.09, 9 Simpang Ulim
11.03.10, 10 Rantau Peureulak
11.03.11, 11 Pante Bidari
11.03.12, 12 Madat
11.03.13, 13 Indra Makmu
11.03.14, 14 Idi Tunong
11.03.15, 15 Banda Alam
11.03.16, 16 Peudawa
11.03.17, 17 Peureulak Timur
11.03.18, 18 Peureulak Barat
11.03.19, 19 Sungai Raya
11.03.20, 20 Simpang Jernih
11.03.21, 21 Darul Ihsan
11.03.22, 22 Darul Falah
11.03.23, 23 Idi Timur
11.03.24, 24 Peunaron
11.04, 4 KAB. ACEH TENGAH
11.04.01, 1 Linge
11.04.02, 2 Silih Nara
11.04.03, 3 Bebesen
"",Bukit
"",Timang gajah
"",Bandar
11.04.07, 4 Pegasing
"", 5
11.04.08,Bintang
"",Syiah Utama
11.04.10, 6 Ketol
11.04.11, 7 Kebayakan
11.04.12, 8 Kute Panang
11.04.13, 9 Celala
"",Pintu Rime Gayo
"",Wih Pesam
"",Permata
11.04.17, 10 Laut Tawar
11.04.18, 11 Atu Lintang
11.04.19, 12 Jagong Jeget
11.04.20, 13 Bies
11.04.21, 14 Rusip Antara
11.05, 5 KAB. ACEH BARAT
11.05.01, 1 Johan Pahwalan
11.05.02, 2 Kaway XVI
11.05.03, 3 Sungai Mas
11.05.04, 4 Woyla
11.05.05, 5 Samatiga
11.05.06, 6 Bubon
11.05.07, 7 Arongan Lambalek
11.05.08, 8 Pante Ceureumen
11.05.09, 9 Meureubo
11.05.10, 10 Woyla Barat
11.05.11, 11 Woyla Timur
11.05.12, 12 Panton Reu
11.06, 6 KAB. ACEH BESAR
11.06.01, 1 Lhoong
11.06.02, 2 Lhoknga
11.06.03, 3 Indrapuri
